WKT,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,latitude,longitude
"POINT (-119.88 34.41)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,ciliatus,34.41,-119.88
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.4126,-119.8832
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,,littoralis,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Ceutorhynchus,,assimilis,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus,,,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Liodessus,,,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,californicus,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,hamiltoni,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus,,,34.4139,-119.8755
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Calathus,,ruficollis,34.4126,-119.8781
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4133,-119.8817
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,hamiltoni,34.4133,-119.8817
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Endalus,,punctatus,34.4133,-119.8817
"POINT (-119.8781 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,,nigropilosa,34.4126,-119.8781
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus,,,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Laccophilus,,maculosus,34.4133,-119.8817
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,hamiltoni,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,hamiltoni,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,californicus,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Endalus,,punctatus,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Naucles,,,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,Ochthebius,,,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus,,,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Berosus,,infuscatus,34.4133,-119.8817
"POINT (-119.879 34.4136)",Animalia,Arthropoda,Insecta,Coleoptera,Brachyceridae,Endalus,,punctatus,34.4136,-119.879
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Dryophthoridae,Sphenophorus,,venatus,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Enochrus,,californicus,34.4133,-119.8817
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,,annectens,34.4139,-119.8755
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus,,,34.4139,-119.8755
"POINT (-119.8817 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Liodessus,,,34.4133,-119.8817
"POINT (-119.8755 34.4139)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4139,-119.8755
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Mordellidae,Mordellina,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coccinella,,septempunctata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,,cavicollis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,albonotatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,,bipunctata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Throscidae,Trixagus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,bigemmeus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Trigonoscuta,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,seminitens,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Aegialiidae,Aegialia,,convexa,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Pentaria,,trifasciata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Nephus,,guttulatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trachymela,,sloanei,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Heterhelus,,sericans,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,fenderi,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Pacificanthia,,consors,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Aphodiidae,Tesarius,,,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,albonotatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cycloneda,,sanguinea,34.4105,-119.8798
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Anthicus,,maritimus,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,difficilis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Dicheirus,,piceus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Melanophthalma,,americana,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,nebulosus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiota,,geniculata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,,annectens,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,albonotatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,,annectens,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Phaleria,,rotundata,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Omalium,,algarum,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Lebia,,perita,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Pentaria,,trifasciata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,,cavicollis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Malachiusidae,Malachius,,auritus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Mordellidae,Mordellina,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,luteipennis,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,canescens,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,,marinus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiota,,geniculata,34.4133,-119.8833
"POINT (-119.8812 34.4107)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4107,-119.8812
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Notoxus,,lustrellus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Naucles,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Ptiliidae,Acrotrichis,,josephi,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,nebulosus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,,nigropilosa,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Leconectes,,,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,,sulcifrons,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,,cavicollis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Psyllobora,,vigintimaculata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,fenyesi,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cypha,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Anchastus,,cinereipennis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Heterhelus,,sericans,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Malachiusidae,Malachius,,auritus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,canescens,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Naucles,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Haliplidae,Peltodytes,,simplex,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,luteipennis,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,lucidulus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,canescens,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Phaleria,,rotundata,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,,cavicollis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Aphodiidae,Tesarius,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,,nebulosus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Cafius,,canescens,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Monotomidae,Phyconomus,,marinus,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tachyporus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Pacificanthia,,consors,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Heterhelus,,sericans,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Throscidae,Trixagus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tachyporus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiota,,geniculata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Pyrochroidae,Pedilus,,inconspicuus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiota,,geniculata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Thinopinus,,pictus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Ozognathus,,cornutus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,,marinus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Pontomalota,,opaca,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,Vrilletta,,blaisdelli,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,,bipunctata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Kateretidae,Heterhelus,,sericans,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthribidae,Ormiscus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiota,,geniculata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,,annectens,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Melanophthalma,,americana,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Amblyderus,,parviceps,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,gaudens,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes,,nigropilosa,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Adalia,,bipunctata,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,sulcicollis,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Paratachys,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Nephus,,sordidus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hyperaspis,,lateralis,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Rhyncolus,,pallens,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthicidae,Cyclodinus,,annectens,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Cycloneda,,sanguinea,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Carpelimus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,,fimbriatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Zopheridae,Phloeodes,,diabolicus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Coelus,,globosus,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Neopachylopus,,sulcifrons,34.4133,-119.8833
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Euspilotus,,scissus,34.4133,-119.8833
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Bledius,,albonotatus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Anthribidae,Ormiscus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Elassoptes,,marinus,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Hypocaccus,,bigemmeus,34.4105,-119.8798
"POINT (-119.8833 34.4133)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tarphiota,,geniculata,34.4133,-119.8833
"POINT (-119.8832 34.4126)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Omalium,,algarum,34.4126,-119.8832
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Scraptiidae,Pentaria,,trifasciata,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Mordellidae,Mordellina,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Trirhabda,,luteocincta,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Geomysaprinus,,,34.4105,-119.8798
"POINT (-119.8798 34.4105)",Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Aleochara,,,34.4105,-119.8798
